49/10034,l/LinXuemin,3
49/10034,t/YufeiTao,3
49/10034,65/1457,7
49/10034,58/4127,42
49/10034,n/FelixNaumann,56
49/10034,m/RJMiller,19
49/10034,p/SParathasarathy,7
49/10034,37/4356-1,2
49/10034,x/JianliangXu,2
49/10034,89/2506-2,33
49/10034,t/JensTeubner,21
49/10034,08/7259,35
49/10034,z/XiaofangZhou,12
49/10034,s/SSudarshan1,2
49/10034,37/3868,53
49/10034,38/8707,10
49/10034,g/JohannesGehrke,13
49/10034,09/10814,18
49/10034,b/MarcoBrambilla,6
49/10034,20/4833,3
49/10034,06/8315,3
49/10034,35/6569,10
49/10034,92/2820,9
49/10034,05/600,15
49/10034,97/3036,18
49/10034,223/3148,4
49/10034,r/UweRohm,5
49/10034,p/EPitoura,5
49/10034,57/10514,10
49/10034,80/6889,3
49/10034,18/10886,4
49/10034,116/5135,21
49/10034,h/BingshengHe,6
49/10034,b/LaureBertiEquille,3
49/10034,54/4551,2
49/10034,05/10127,20
49/10034,05/7380,5
49/10034,t/AnthonyKHTung,10
49/10034,71/8700-1,8
49/10034,k/AlfonsKemper,13
49/10034,36/5673,6
49/10034,a/KarlAberer,11
49/10034,64/146,5
49/10034,09/3012,7
49/10034,z/DemetriosZeinalipourYazti,4
49/10034,33/1903,3
49/10034,129/6818,11
49/10034,06/3456-1,3
49/10034,131/4047,11
49/10034,17/6060-4,17
49/10034,82/1740,4
49/10034,25/7045-12,3
49/10034,m/ReneMuller,22
49/10034,10/5842,5
49/10034,71/5578,23
49/10034,139/1128,27
49/10034,19/1082,3
49/10034,h/ThomasHeinis,8
49/10034,41/5464,7
49/10034,87/11444,3
49/10034,c/VassilisChristophides,5
49/10034,118/7229,9
49/10034,h/AlonYHalevy,10
49/10034,28/568,6
49/10034,m/CMohan,19
49/10034,74/20,6
49/10034,82/11411,5
49/10034,97/3301,7
49/10034,36/10568,31
49/10034,16/4915,20
49/10034,163/0574,2
49/10034,51/3529-1,9
49/10034,c/PKChrysanthis,44
49/10034,77/2970-1,6
49/10034,j/ChristianSJensen,18
49/10034,k/DonaldKossmann,82
49/10034,32/6122,58
49/10034,52/1382,34
49/10034,f/JCFreytag,2
49/10034,84/2644,20
49/10034,l/QiongLuo,14
49/10034,75/9436,33
49/10034,167/6469,42
49/10034,69/9726,2
49/10034,s/JuliaStoyanovich,14
49/10034,154/6336,39
49/10034,b/IlariaBartolini,13
49/10034,59/7992,140
49/10034,151/3263,6
49/10034,32/1624,25
49/10034,g/MinosNGarofalakis,4
49/10034,s/MonicaScannapieco,6
49/10034,h/PeterJHaas,26
49/10034,b/PBonnet,42
49/10034,p/IppokratisPandis,9
49/10034,179/2728,10
49/10034,n/JeffreyFNaughton,12
49/10034,i/ZacharyGIves,4
49/10034,175/1473,42
49/10034,50/10703,18
49/10034,71/7422,106
49/10034,57/10948-1,4
49/10034,l/WLehner,41
49/10034,p/ThemisPalpanas,46
49/10034,43/2286,7
49/10034,47/9855,2
49/10034,45/4887,15
49/10034,58/1388,14
49/10034,k/VanaKalogeraki,31
49/10034,143/7236,3
49/10034,139/7927,3
49/10034,10/760,29
49/10034,09/2901,28
49/10034,k/GeorgiaKoutrika,46
49/10034,p/NeoklisPolyzotis,41
49/10034,b/PhilipABernstein,6
49/10034,i/StratosIdreos,12
49/10034,s/TimosKSellis,4
49/10034,126/6015,5
49/10034,m/VMarkl,24
49/10034,b/SBergamaschi,53
49/10034,77/4620,6
49/10034,200/8759,31
49/10034,184/1441,5
49/10034,n/VivekRNarasayya,12
49/10034,35/3834,16
49/10034,19/1038,6
49/10034,58/3771,9
49/10034,k/FlipKorn,8
49/10034,n/HungQNgo,6
49/10034,76/3160-2,20
49/10034,80/1651-2,13
49/10034,25/7592,13
49/10034,41/9728,5
147/1189,131/4202,224
147/1189,41/3679,260
147/1189,m/StefanManegold,9
147/1189,49/612,15
147/1189,33/6315-1,6
147/1189,v/YannisVelegrakis,5
147/1189,k/SrikanthKandula,13
147/1189,17/5910,24
147/1189,s/KennethSalem,12
147/1189,01/2861,44
147/1189,32/7263,8
147/1189,93/4085,2
147/1189,117/3757,97
147/1189,11/6446,10
147/1189,77/5034,5
147/1189,83/9923,2
147/1189,131/4166,31
147/1189,h/KatjaHose,5
147/1189,p/NWPaton,2
147/1189,11/6409,9
147/1189,117/4879-1,18
147/1189,27/104-1,127
147/1189,131/4767,35
147/1189,f/JulianaFreire,76
147/1189,f/MJFranklin,276
147/1189,131/6529-1,9
147/1189,c/ShiminChen,2
147/1189,24/8510,53
147/1189,o/MTamerOzsu,45
147/1189,y/JXuYu,88
147/1189,98/5766-1,15
147/1189,s/IonStoica,70
147/1189,m/SamuelMadden,267
147/1189,s/MichaelStonebraker,207
147/1189,40/7459,72
147/1189,d/AmolDeshpande,92
147/1189,l/ChenLi1,34
147/1189,n/WilfredNg,5
147/1189,m/TovaMilo,82
147/1189,07/11533,40
147/1189,66/9726,7
147/1189,74/3608-6,2
147/1189,45/1559,58
147/1189,l/GuoliangLi,129
147/1189,136/7969,49
147/1189,116/0694,2
147/1189,155/5478,87
147/1189,89/6013,18
147/1189,181/7644,49
147/1189,99/6349,66
147/1189,171/4868,13
147/1189,21/10575,13
147/1189,12/2633-6,13
147/1189,154/0932,4
147/1189,52/6414,3
147/1189,48/1294-7,5
147/1189,43/6576,208
147/1189,27/2143,62
147/1189,l/FeifeiLi,17
147/1189,46/3522,22
147/1189,04/1835,19
147/1189,c/CarloCurino,38
147/1189,09/404-1,31
147/1189,07/1560,15
147/1189,c/CheeYongChan,7
