A. Cristiano I. Malossi,[IBM Corporation*]
Hai Ah Nam,[Los Alamos National Laboratory]
Haikun Liu,[Huazhong University of Science and Technology (HUST)]
Haipeng Dai,"[Nanjing University, China; State Key Laboratory for Novel Software Technology]"
Haiying Xu,[National Center for Atmospheric Research (NCAR)]
Hamish Carr,[University of Leeds]
Han-Wei Shen,[Ohio State University]
Hang Liu,"[Rutgers University, Rutgers, The State University of New Jersey, Stevens Institute of Technology]"
Hanqi Guo,[The Ohio State University]
Hans Eberle,[NVIDIA Corporation]
Haohuan Fu,"[Tsinghua University, China; National Supercomputing Center, Wuxi*]"
Harald Köstler,[University of Erlangen-Nuremberg]
Hari Subramoni,[Ohio State University]
Hari Sundar,[University of Utah]
Hariharan Devarajan,"[Lawrence Livermore National Laboratory, Illinois Institute of Technology]"
Harold Castro,"[University of the Andes, Colombia]"
Harsh Bhatia,[Lawrence Livermore National Laboratory]
Harsh Vardhan,"[Google LLC, Texas A&M University*]"
Hartwig Anzt,"[Karlsruhe Institute of Technology (KIT), University of Tennessee, Karlsruhe Institute of Technology, University of Tennessee]"
Hatem Ltaief,[King Abdullah University of Science and Technology (KAUST)]
Heidi K. Thornquist,[Sandia National Laboratories]
Heike Jagode,"[University of Tennessee, University of Tennessee, Innovative Computing Laboratory (ICL); University of Tennessee]"
Helen Gu,[North Carolina State University]
Helen Xu,[Lawrence Berkeley National Laboratory]
Hideyuki Kawashima,"[Keio University, Tokyo]"
Hiranmayi Ranganathan,[Lawrence Livermore National Laboratory]
HiroakiKobayashi,[Tohoku University]
Hiroki Ohtsuji,[Fujitsu Ltd]
Hiroyuki Takizawa,"[Tohoku University; Tohoku University, Graduate School of Information Sciences]"
Hodjat Asghari Esfeden,[Google LLC]
Hongfeng Yu,[University of Nebraska-Lincoln]
Hoon Ryu,[KISTI]
Horacio Gonzalez-Velez,[Cloud Competency Centre-NCI]
Howie Huang,[George Washington University*]
Huda Ibeid,[Intel Corporation]
Hui Guan,"[University of Massachusetts, Amherst]"
Huiyang Zhou,[North Carolina State University]
Hyoukjun Kwon,"[University of California, Irvine]"
Ian Karlin,[NVIDIA Corporation]
Ignacio Laguna,[Lawrence Livermore National Laboratory]
Ilkay Altintas,"[San Diego Supercomputer Center (SDSC); University of California, San Diego, Halicioglu Data Science Institute, San Diego Supercomputer Center; University of California, San Diego, Halicioglu Data Science Institute]"
Ioan Raicu,"[Illinois Institute of Technology, Argonne National Laboratory (ANL)]"
Ioana Banicescu,"[Mississippi State University*, Mississippi State University]"
Israt Nisa,[AWS AI Research and Education]
Ivo Jimenez,"[University of California, Santa Cruz; University of Sonora]"
Ivy Peng,"[KTH Royal Institute of Technology, KTH Royal Institute of Technology, Sweden]"
J. Daniel Garcia,"[University Carlos III of Madrid, Spain]"
Jaejin Lee,[Seoul National University]
Jakob Luettgau,[University of Tennessee]
James A. Ang,[Pacific Northwest National Laboratory (PNNL)]
James Dinan,"[NVIDIA Corporation, NVIDIA]"
James Elliott,[Sandia National Laboratories]
James Lin,[Shanghai Jiao Tong University]
Jamie Finney,[Oak Ridge National Laboratory (ORNL)]
Jan Ciesko,[Sandia National Laboratories]
Jana Thayer,[SLAC National Accelerator Laboratory]
Janine C. Bennett,[Sandia National Laboratories]
Janis Keuper,"[Offenburg University of Applied Sciences, Fraunhofer Institute for Industrial Mathematics, Offenburg University of Applied Sciences; Fraunhofer Institute for Industrial Mathematics, Offenburg University of Applied Sciences, Fraunhofer Institute for Industrial Mathematics*]"
Jason Bakos,[University of South Carolina]
Jason Riedy,[Georgia Institute of Technology]
Jay Bardhan,[Pacific Northwest National Laboratory (PNNL)]
Jay Lofstead,[Sandia National Laboratories]
Jay Srinivasan,[Lawrence Berkeley National Laboratory (LBNL)]
Jean Luca Bez,[Lawrence Berkeley National Laboratory (LBNL)]
Jean-Baptiste Besnard,[ParaTools Inc]
Jed Brown,[University of Colorado]
Jee Choi,[University of Oregon]
Jeff R. Hammond,"[NVIDIA Helsinki Oy, NVIDIA Corporation]"
Jeffrey A. F. Hittinger,[Lawrence Livermore National Laboratory]
Jeffrey S. Vetter,[Oak Ridge National Laboratory (ORNL)]
Jelena Pjesivac-Grbovic,[Verily Life Sciences]
Jen-Chang Chen,[Amazon Web Services]
Jenett Tillotson,[National Center for Atmospheric Research (NCAR)]
Jennifer Green,[Los Alamos National Laboratory (LANL)]
Jens Domke,[RIKEN Center for Computational Science (R-CCS)]
Jerome Soumagne,[Intel Corporation]
Jerry Chou,"[National Tsing Hua University, Taiwan]"
Jesmin Jahan Tithi,[Intel Corporation]
Jesper Larsson Träff,[Technical University Wien (Vienna University of Technology)]
Jessica Dagostini,"[University of California, Santa Cruz]"
Jesus A. Izaguirre,[DE Shaw Research LLC]
Jesus Carretero,"[University Carlos III of Madrid, Spain]"
Ji Xue,[Google LLC]
Jiajia Li,[North Carolina State University]
Jian Huang,[University of Tennessee]
Jianwu Wang,"[University of Maryland, Baltimore County]"
Jianyu Huang,[Facebook]
Jidong Zhai,"[Tsinghua University, China]"
Jing (Jane) Li,[University of Pennsylvania]
Jingheng Xu,"[Tsinghua University, China]"
Jingling Xue,[University of New South Wales]
Jingwen Leng,"[Shanghai Jiao Tong University, Shanghai Qi Zhi Institute]"
Jintao Meng,"[Shenzhen Institute of Advanced Technology, Chinese Academy of Sciences]"
Jishen Zhao,"[University of California, San Diego*]"
Joachim Jenke,[RWTH Aachen University]
Joanna Kolodziej,"[Cracow University of Technology, Poland; NASK National Research Institute, Warsaw, Poland, Cracow University of Technology; NASK National Research Institute]"
Johann Lombardi,[Intel Corporation]
Johann Rudi,[Argonne National Laboratory (ANL)]
Johansson Mikael,"[CSC – IT Center for Science Ltd, Finland]"
John Bent,[Seagate Systems]
John Cazes,[University of Texas]
John Davis,[Openchip]
John Dennis,[National Center for Atmospheric Research (NCAR)]
John Gounley,[Oak Ridge National Laboratory (ORNL)]
John Kim,[Korea Advanced Institute of Science and Technology (KAIST)]
John Lange,"[Oak Ridge National Laboratory (ORNL), University of Pittsburgh, Oak Ridge National Laboratory (ORNL); University of Pittsburgh]"
John Leidel,"[Tactical Computing Laboratories LLC, Texas Tech University]"
John Linford,[NVIDIA Corporation]
John Pennycook,[Intel Corporation]
John Shalf,[Lawrence Berkeley National Laboratory (LBNL)]
John Thomson,"[University of St Andrews, Scotland]"
John Urbanic,[Pittsburgh Supercomputing Center]
John W. Romein,[ASTRON (Netherlands Institute for Radio Astronomy)]
Jon Calhoun,[Clemson University]
Jon Masters,[Red Hat Inc]
Jonas Posner,[University of Kassel]
Jonas Thies,"[Delft University of Technology, Delft Institute of Applied Mathematics]"
Jonathan Beard,"[Google Cloud, ARM Ltd]"
Jonathan Lifflander,[Sandia National Laboratories]
Jonathan Madsen,[Advanced Micro Devices (AMD) Inc]
Jonathon Anderson,[University of Colorado]
Joost VandeVondele,"[Swiss National Supercomputing Centre (CSCS), ETH Zurich]"
Jorge González-Domínguez,[University of A Coruña]
Josef Spillner,[Zurich University of Applied Sciences]
Joseph Schuchart,"[University of Tennessee, Innovative Computing Laboratory]"
Josh Milthorpe,"[Oak Ridge National Laboratory (ORNL), Australian National University]"
José Moreira,[IBM Corporation]
Joy Kitson,[University of Maryland]
João Barreto,"[INESC-ID, IST, University of Lisbon]"
Judith C. Hill,"[Lawrence Livermore National Laboratory (LLNL), Lawrence Livermore National Laboratory]"
Judy Fox,"[University of Virginia, Indiana University]"
Julian Kunkel,"[University of Göttingen; GWDG, Germany]"
Julie Mueller,[Lawrence Berkeley National Laboratory (LBNL)]
Julien Jaeger,[French Alternative Energies and Atomic Energy Commission (CEA)]
Julien Langou,"[University of Colorado, Denver]"
Jung Ho Ahn,"[Seoul National University, Seoul National University*]"
Junjie Li,[Texas Advanced Computing Center (TACC)]
Jysoo Lee,[King Abdullah University of Science and Technology]
Jörg Domaschka,"[Ulm University; benchANT, Germany]"
KHALED HAMIDOUCHE,[Advanced Micro Devices (AMD) Inc]
Kamer Kaya,"[Sabancı University, Turkey]"
Kamesh Madduri,[Pennsylvania State University]
Kamil Iskra,[Argonne National Laboratory (ANL)]
Kangyu Wang,[Institute of Computing Technology]
Karen Devine,"[Sandia National Laboratories (retired), Sandia National Laboratories (ret.), Sandia National Laboratories]"
Karen L. Karavanic,[Portland State University*]
Karl Fuerlinger,[Ludwig Maximilian University of Munich]
Karl Schulz,[University of Texas]
Karlyn K. Harrod,[Oak Ridge National Laboratory]
Karthik Kashinath,"[NVIDIA Corporation, Lawrence Berkeley National Laboratory (LBNL)]"
Kartik Lakhotia,[Intel]
Kasimir Gabert,[Sandia National Laboratories]
Kate Clark,"[Nvidia Corporation, NVIDIA Corporation]"
Kate Isaacs,[University of Utah]
Kate Keahey,"[Argonne National Laboratory, University of Chicago]"
Kathleen Shoga,[Lawrence Livermore National Laboratory]
Kathryn Mohror,[Lawrence Livermore National Laboratory]
Kazutomo Yoshii,[Argonne National Laboratory (ANL)]
Keichi Takahashi,[Tohoku University]
Keith Underwood,[Hewlett Packard Enterprise]
Kelly Gaither,"[University of Texas; Texas Advanced Computing Center, Dell Medical School]"
Kengo Nakajima,"[University of Tokyo, RIKEN]"
Kenjiro Taura,"[University of Tokyo*, University of Tokyo]"
KenjiroTaura,[University of Tokyo]
Kenneth Moreland,[Oak Ridge National Laboratory (ORNL)]
Kenneth O'Brien,[Advanced Micro Devices (AMD) Inc]
Kenneth Ruud,[University of Tromsø – The Arctic University of Norway]
Kentaro Sano,[RIKEN]
Kento Sato,[RIKEN]
Keren Bergman,"[Columbia University, Ayar Labs]"
Kesheng (John) Wu,[Lawrence Berkeley National Laboratory (LBNL)]
Kevin A. Brown,[Argonne National Laboratory (ANL)]
Kevin Carlberg,[University of Washington]
Kevin Huck,"[University of Oregon, University of Oregon*]"
Kevin J. Barker,[Pacific Northwest National Laboratory (PNNL)]
Kevin Rudd,[US Naval Academy]
Kimon Fountoulakis,[University of Waterloo]
Kirk Cameron,[Virginia Tech]
Kirk E. Jordan,[IBM Research]
Kishore Kothapalli,"[International Institute of Information Technology (IIIT), Hyderabad]"
Koji Inoue,[Kyushu University]
