name,affiliation
Tsuyoshi Ide,IBM T. J. Watson Research Center
Dino Ienco,"UMR Tetis, IRSTEA"
Nitin Indurkhya,AI Data-Miner LLC
Stratis Ioannidis,Northeastern University
Vandana P. Janeja,"University of Maryland, Baltimore County"
Ling Jian,China University of Petroleum
Lili Jiang,Umeå University
Zhe Jiang,University of Alabama
Bo Jin,Dalian University of Technology
Huidong Jin,CSIRO
Ruoming Jin,Kent State University
Panos Kalnis,King Abdullah University of Science and Technology
Vana Kalogeraki,Athens University of Economics and Business
Konstantinos Kalpakis,UMBC
Toshihiro Kamishima,National Institute of Advanced Industrial Science and Technology (AIST)
Andrey Kan,University of Adelaide
Bhargav Kanagal,Google
Zhao Kang,University of Electronic Science and Technology of China
Hung-Yu Kao,National Cheng Kung University
Kamal Karlapalem,"International Institute of Information Technology, Hyderabad"
Saurav Karmakar,GreyKarma Technologies
Panagiotis Karras,Aarhus University
Sang Wook Kim,"Hanyang University, Seoul, Korea"
Deguang Kong,Yahoo Research
Youyong Kong,Southeast University
Olivera Kotevska,Oak Ridge National Laboratory
Stefan Kramer,Johannes Gutenberg University
Nils M. Kriege,TU Dortmund University
Peer Kroger,Kiel University
Hye-Chung Kum,Texas A&M
Jean-Charles Lamirel,TALARIS- LORIA
Long Lan,National University of Defense Technology
Anne Laurent,"Univ. Montpellier 2, LIRMM"
Hady Lauw,Singapore Management University
Aleksandar Lazarevic,Stanley Black & Decker
Jae-Gil Lee,KAIST
Roy Ka-Wei Lee,University of Saskatchewan
Mark Levene,"Birkbeck, University of London"
Cheng-Te Li,"Institute of Data Science, National Cheng Kung University"
Gang Li,Deakin University
Hui Li,Xidian University
Jianxin Li,Deakin University
Jianxin Li,Beihang University
Ming Li,Nanjing University
Peipei Li,Hefei University of Technology
Shuai Li,Cambridge University
Xue Li,University of Queensland
Xuelong Li,Northwestern Polytechnical University
Yanhua Li,Worcester Polytechnic Institute
Yuefeng Li,Queensland University of Technology
Yun Li,Nanjing University of Posts and Telecommunications
Qing Liao,Harbin Institute of Technology (Shenzhen)
Chien-Liang Liu,National Chiao Tung University
Chuanren Liu,Drexel University
Guannan Liu,Beihang University
Hongfu Liu,Brandeis University
Hongyan Liu,Tsinghua University
Jialu Liu,Google Research
Jinfei Liu,Emory University
Junqiang Liu,Zhejiang Gongshang University
Li Liu,Chongqing University
